question_id,stage,input_tokens,output_tokens,total_tokens,calls,status,attempt,model
1,step1,1077,135,1212,1,completed,,gpt-5.6-luna
1,code_generation,4782,1155,5937,1,completed,,gpt-5.6-luna
1,execution,0,0,0,0,completed,,gpt-5.6-luna
1,insight,0,0,0,0,skipped,,gpt-5.6-luna
1,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
6,step1,1072,176,1248,1,completed,,gpt-5.6-luna
6,code_generation,3661,767,4428,1,completed,,gpt-5.6-luna
6,execution,0,0,0,0,completed,,gpt-5.6-luna
6,insight,0,0,0,0,skipped,,gpt-5.6-luna
6,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
10,step1,1074,208,1282,1,completed,,gpt-5.6-luna
10,code_generation,6278,1492,7770,1,completed,,gpt-5.6-luna
10,execution,0,0,0,0,completed,,gpt-5.6-luna
10,insight,0,0,0,0,skipped,,gpt-5.6-luna
10,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
13,step1,1090,249,1339,1,completed,,gpt-5.6-luna
13,code_generation,4793,2504,7297,1,completed,,gpt-5.6-luna
13,execution,0,0,0,0,completed,,gpt-5.6-luna
13,insight,0,0,0,0,skipped,,gpt-5.6-luna
13,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
16,step1,1068,64,1132,1,completed,,gpt-5.6-luna
16,code_generation,4158,730,4888,1,completed,,gpt-5.6-luna
16,execution,0,0,0,0,completed,,gpt-5.6-luna
16,insight,0,0,0,0,skipped,,gpt-5.6-luna
16,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
17,step1,1081,229,1310,1,completed,,gpt-5.6-luna
17,code_generation,4689,1064,5753,1,completed,,gpt-5.6-luna
17,execution,0,0,0,0,completed,,gpt-5.6-luna
17,insight,0,0,0,0,skipped,,gpt-5.6-luna
17,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
18,step1,1105,175,1280,1,completed,,gpt-5.6-luna
18,code_generation,4722,1476,6198,1,completed,,gpt-5.6-luna
18,execution,0,0,0,0,completed,,gpt-5.6-luna
18,insight,0,0,0,0,skipped,,gpt-5.6-luna
18,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
22,step1,1104,189,1293,1,completed,,gpt-5.6-luna
22,code_generation,4813,1329,6142,1,completed,,gpt-5.6-luna
22,execution,0,0,0,0,completed,,gpt-5.6-luna
22,insight,0,0,0,0,skipped,,gpt-5.6-luna
22,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
25,step1,1087,222,1309,1,completed,,gpt-5.6-luna
25,code_generation,5842,1785,7627,1,completed,,gpt-5.6-luna
25,execution,0,0,0,0,completed,,gpt-5.6-luna
25,insight,0,0,0,0,skipped,,gpt-5.6-luna
25,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
30,step1,1088,145,1233,1,completed,,gpt-5.6-luna
30,code_generation,4704,2538,7242,1,completed,,gpt-5.6-luna
30,execution,0,0,0,0,completed,,gpt-5.6-luna
30,insight,0,0,0,0,skipped,,gpt-5.6-luna
30,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
31,step1,1083,120,1203,1,completed,,gpt-5.6-luna
31,code_generation,4295,1077,5372,1,completed,,gpt-5.6-luna
31,execution,0,0,0,0,completed,,gpt-5.6-luna
31,insight,0,0,0,0,skipped,,gpt-5.6-luna
31,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
34,step1,1077,247,1324,1,completed,,gpt-5.6-luna
34,code_generation,4796,1437,6233,1,completed,,gpt-5.6-luna
34,execution,0,0,0,0,completed,,gpt-5.6-luna
34,insight,0,0,0,0,skipped,,gpt-5.6-luna
34,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
37,step1,1082,143,1225,1,completed,,gpt-5.6-luna
37,code_generation,4791,1077,5868,1,completed,,gpt-5.6-luna
37,execution,0,0,0,0,completed,,gpt-5.6-luna
37,insight,0,0,0,0,skipped,,gpt-5.6-luna
37,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
38,step1,1081,193,1274,1,completed,,gpt-5.6-luna
38,code_generation,4793,1019,5812,1,completed,,gpt-5.6-luna
38,execution,0,0,0,0,completed,,gpt-5.6-luna
38,insight,0,0,0,0,skipped,,gpt-5.6-luna
38,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
42,step1,1115,179,1294,1,completed,,gpt-5.6-luna
42,code_generation,4824,2494,7318,1,completed,,gpt-5.6-luna
42,execution,0,0,0,0,completed,,gpt-5.6-luna
42,insight,0,0,0,0,skipped,,gpt-5.6-luna
42,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
45,step1,1094,177,1271,1,completed,,gpt-5.6-luna
45,code_generation,5104,3095,8199,1,completed,,gpt-5.6-luna
45,execution,0,0,0,0,completed,,gpt-5.6-luna
45,insight,0,0,0,0,skipped,,gpt-5.6-luna
45,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
47,step1,1076,140,1216,1,completed,,gpt-5.6-luna
47,code_generation,4781,1718,6499,1,completed,,gpt-5.6-luna
47,execution,0,0,0,0,completed,,gpt-5.6-luna
47,insight,0,0,0,0,skipped,,gpt-5.6-luna
47,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
50,step1,1082,229,1311,1,completed,,gpt-5.6-luna
50,code_generation,4793,3042,7835,1,completed,,gpt-5.6-luna
50,execution,0,0,0,0,completed,,gpt-5.6-luna
50,insight,0,0,0,0,skipped,,gpt-5.6-luna
50,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
51,step1,1080,219,1299,1,completed,,gpt-5.6-luna
51,code_generation,6298,2440,8738,1,completed,,gpt-5.6-luna
51,execution,0,0,0,0,completed,,gpt-5.6-luna
51,insight,0,0,0,0,skipped,,gpt-5.6-luna
51,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
60,step1,1081,144,1225,1,completed,,gpt-5.6-luna
60,code_generation,4789,1746,6535,1,completed,,gpt-5.6-luna
60,execution,0,0,0,0,completed,,gpt-5.6-luna
60,insight,0,0,0,0,skipped,,gpt-5.6-luna
60,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
61,step1,1119,295,1414,1,completed,,gpt-5.6-luna
61,code_generation,6450,1665,8115,1,completed,,gpt-5.6-luna
61,execution,0,0,0,0,completed,,gpt-5.6-luna
61,insight,0,0,0,0,skipped,,gpt-5.6-luna
61,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
63,step1,1101,205,1306,1,completed,,gpt-5.6-luna
63,code_generation,4315,2054,6369,1,completed,,gpt-5.6-luna
63,execution,0,0,0,0,completed,,gpt-5.6-luna
63,insight,0,0,0,0,skipped,,gpt-5.6-luna
63,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
65,step1,1090,278,1368,1,completed,,gpt-5.6-luna
65,code_generation,4805,4090,8895,1,completed,,gpt-5.6-luna
65,execution,0,0,0,0,completed,,gpt-5.6-luna
65,insight,0,0,0,0,skipped,,gpt-5.6-luna
65,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
66,step1,1086,157,1243,1,completed,,gpt-5.6-luna
66,code_generation,4786,1384,6170,1,completed,,gpt-5.6-luna
66,execution,0,0,0,0,completed,,gpt-5.6-luna
66,insight,0,0,0,0,skipped,,gpt-5.6-luna
66,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
67,step1,1085,300,1385,1,completed,,gpt-5.6-luna
67,code_generation,4791,1994,6785,1,completed,,gpt-5.6-luna
67,execution,0,0,0,0,completed,,gpt-5.6-luna
67,insight,0,0,0,0,skipped,,gpt-5.6-luna
67,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
71,step1,1079,206,1285,1,completed,,gpt-5.6-luna
71,code_generation,5818,1667,7485,1,completed,,gpt-5.6-luna
71,execution,0,0,0,0,completed,,gpt-5.6-luna
71,insight,0,0,0,0,skipped,,gpt-5.6-luna
71,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
73,step1,1081,262,1343,1,completed,,gpt-5.6-luna
73,code_generation,5464,2614,8078,1,completed,,gpt-5.6-luna
73,execution,0,0,0,0,completed,,gpt-5.6-luna
73,insight,0,0,0,0,skipped,,gpt-5.6-luna
73,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
76,step1,1080,299,1379,1,completed,,gpt-5.6-luna
76,code_generation,5317,1823,7140,1,completed,,gpt-5.6-luna
76,execution,0,0,0,0,completed,,gpt-5.6-luna
76,insight,0,0,0,0,skipped,,gpt-5.6-luna
76,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
79,step1,1078,295,1373,1,completed,,gpt-5.6-luna
79,code_generation,4965,2558,7523,1,completed,,gpt-5.6-luna
79,execution,0,0,0,0,completed,,gpt-5.6-luna
79,insight,0,0,0,0,skipped,,gpt-5.6-luna
79,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
80,step1,1094,309,1403,1,completed,,gpt-5.6-luna
80,code_generation,5552,3050,8602,1,completed,,gpt-5.6-luna
80,execution,0,0,0,0,completed,,gpt-5.6-luna
80,insight,0,0,0,0,skipped,,gpt-5.6-luna
80,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
82,step1,1080,193,1273,1,completed,,gpt-5.6-luna
82,code_generation,4290,1497,5787,1,completed,,gpt-5.6-luna
82,execution,0,0,0,0,completed,,gpt-5.6-luna
82,insight,0,0,0,0,skipped,,gpt-5.6-luna
82,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
83,step1,1077,328,1405,1,completed,,gpt-5.6-luna
83,code_generation,6499,3355,9854,1,completed,,gpt-5.6-luna
83,execution,0,0,0,0,completed,,gpt-5.6-luna
83,insight,0,0,0,0,skipped,,gpt-5.6-luna
83,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
84,step1,1075,206,1281,1,completed,,gpt-5.6-luna
84,code_generation,4787,2244,7031,1,completed,,gpt-5.6-luna
84,execution,0,0,0,0,completed,,gpt-5.6-luna
84,insight,0,0,0,0,skipped,,gpt-5.6-luna
84,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
85,step1,1080,356,1436,1,completed,,gpt-5.6-luna
85,code_generation,4793,2833,7626,1,completed,,gpt-5.6-luna
85,execution,0,0,0,0,completed,,gpt-5.6-luna
85,insight,0,0,0,0,skipped,,gpt-5.6-luna
85,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
88,step1,1099,467,1566,1,completed,,gpt-5.6-luna
88,code_generation,4764,4260,9024,1,completed,,gpt-5.6-luna
88,execution,0,0,0,0,completed,,gpt-5.6-luna
88,insight,0,0,0,0,skipped,,gpt-5.6-luna
88,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
89,step1,1100,263,1363,1,completed,,gpt-5.6-luna
89,code_generation,6016,3152,9168,1,completed,,gpt-5.6-luna
89,execution,0,0,0,0,completed,,gpt-5.6-luna
89,insight,0,0,0,0,skipped,,gpt-5.6-luna
89,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
91,step1,1084,304,1388,1,completed,,gpt-5.6-luna
91,code_generation,6975,3217,10192,1,completed,,gpt-5.6-luna
91,execution,0,0,0,0,completed,,gpt-5.6-luna
91,insight,0,0,0,0,skipped,,gpt-5.6-luna
91,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
93,step1,1099,309,1408,1,completed,,gpt-5.6-luna
93,code_generation,4821,4090,8911,1,completed,,gpt-5.6-luna
93,repair,7327,2765,10092,1,completed,1.0,gpt-5.6-luna
93,execution,0,0,0,0,completed,,gpt-5.6-luna
93,insight,0,0,0,0,skipped,,gpt-5.6-luna
93,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
95,step1,1105,261,1366,1,completed,,gpt-5.6-luna
95,code_generation,6523,2891,9414,1,completed,,gpt-5.6-luna
95,execution,0,0,0,0,completed,,gpt-5.6-luna
95,insight,0,0,0,0,skipped,,gpt-5.6-luna
95,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
100,step1,1092,250,1342,1,completed,,gpt-5.6-luna
100,code_generation,6018,3808,9826,1,completed,,gpt-5.6-luna
100,execution,0,0,0,0,completed,,gpt-5.6-luna
100,insight,0,0,0,0,skipped,,gpt-5.6-luna
100,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
