question_id,stage,input_tokens,output_tokens,total_tokens,calls,status,attempt,model
1,step1,0,0,0,0,skipped,,gpt-5.6-luna
1,code_generation,7676,742,8418,1,completed,,gpt-5.6-luna
1,execution,0,0,0,0,completed,,gpt-5.6-luna
1,insight,0,0,0,0,skipped,,gpt-5.6-luna
1,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
6,step1,0,0,0,0,skipped,,gpt-5.6-luna
6,code_generation,7671,680,8351,1,completed,,gpt-5.6-luna
6,execution,0,0,0,0,completed,,gpt-5.6-luna
6,insight,0,0,0,0,skipped,,gpt-5.6-luna
6,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
10,step1,0,0,0,0,skipped,,gpt-5.6-luna
10,code_generation,7673,1320,8993,1,completed,,gpt-5.6-luna
10,execution,0,0,0,0,completed,,gpt-5.6-luna
10,insight,0,0,0,0,skipped,,gpt-5.6-luna
10,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
13,step1,0,0,0,0,skipped,,gpt-5.6-luna
13,code_generation,7689,1671,9360,1,completed,,gpt-5.6-luna
13,execution,0,0,0,0,completed,,gpt-5.6-luna
13,insight,0,0,0,0,skipped,,gpt-5.6-luna
13,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
16,step1,0,0,0,0,skipped,,gpt-5.6-luna
16,code_generation,7667,932,8599,1,completed,,gpt-5.6-luna
16,execution,0,0,0,0,completed,,gpt-5.6-luna
16,insight,0,0,0,0,skipped,,gpt-5.6-luna
16,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
17,step1,0,0,0,0,skipped,,gpt-5.6-luna
17,code_generation,7680,1060,8740,1,completed,,gpt-5.6-luna
17,execution,0,0,0,0,completed,,gpt-5.6-luna
17,insight,0,0,0,0,skipped,,gpt-5.6-luna
17,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
18,step1,0,0,0,0,skipped,,gpt-5.6-luna
18,code_generation,7704,1600,9304,1,completed,,gpt-5.6-luna
18,execution,0,0,0,0,completed,,gpt-5.6-luna
18,insight,0,0,0,0,skipped,,gpt-5.6-luna
18,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
22,step1,0,0,0,0,skipped,,gpt-5.6-luna
22,code_generation,7703,1089,8792,1,completed,,gpt-5.6-luna
22,execution,0,0,0,0,completed,,gpt-5.6-luna
22,insight,0,0,0,0,skipped,,gpt-5.6-luna
22,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
25,step1,0,0,0,0,skipped,,gpt-5.6-luna
25,code_generation,7686,2436,10122,1,completed,,gpt-5.6-luna
25,execution,0,0,0,0,completed,,gpt-5.6-luna
25,insight,0,0,0,0,skipped,,gpt-5.6-luna
25,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
30,step1,0,0,0,0,skipped,,gpt-5.6-luna
30,code_generation,7687,2882,10569,1,completed,,gpt-5.6-luna
30,execution,0,0,0,0,completed,,gpt-5.6-luna
30,insight,0,0,0,0,skipped,,gpt-5.6-luna
30,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
31,step1,0,0,0,0,skipped,,gpt-5.6-luna
31,code_generation,7682,965,8647,1,completed,,gpt-5.6-luna
31,execution,0,0,0,0,completed,,gpt-5.6-luna
31,insight,0,0,0,0,skipped,,gpt-5.6-luna
31,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
34,step1,0,0,0,0,skipped,,gpt-5.6-luna
34,code_generation,7676,2145,9821,1,completed,,gpt-5.6-luna
34,execution,0,0,0,0,completed,,gpt-5.6-luna
34,insight,0,0,0,0,skipped,,gpt-5.6-luna
34,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
37,step1,0,0,0,0,skipped,,gpt-5.6-luna
37,code_generation,7681,1115,8796,1,completed,,gpt-5.6-luna
37,execution,0,0,0,0,completed,,gpt-5.6-luna
37,insight,0,0,0,0,skipped,,gpt-5.6-luna
37,judge,0,0,0,0,skipped_only_generation,,gpt-4o-mini
38,step1,0,0,0,0,skipped,,gpt-5.6-luna
38,code_generation,7680,915,8595,1,completed,,gpt-5.6-luna
